,Country/Region,Lat,Long,total,normal,2020
0,Afghanistan,33.93911,67.709953,297323,0.00763770025545142,38928341.0
70,Indonesia,-0.7893,113.9213,2148683,0.00785556652162045,273523621.0
76,Jamaica,18.1096,-77.2975,23679,0.007996525687053153,2961161.0
2,Algeria,28.0339,1.6596,377806,0.008615667362803663,43851043.0
5,Antigua and Barbuda,17.0608,-61.7964,864,0.008822808594069111,97928.0
160,Trinidad and Tobago,10.6918,-61.2225,13090,0.00935340062922877,1399491.0
124,Philippines,12.879721,121.774017,1048249,0.009565966608197026,109581085.0
68,Iceland,64.9631,-19.0208,3674,0.010026608446476086,366425.0
166,United Arab Emirates,23.424076,53.847818,99619,0.010072292323869612,9890400.0
47,Equatorial Guinea,1.6508,10.2679,15300,0.01090531972900637,1402985.0
95,Maldives,3.2028,73.2207,6298,0.011651268541574937,540542.0
84,Latvia,56.8796,24.6032,22288,0.011720976804161662,1901548.0
69,India,20.593684,78.96288,17171598,0.01244314741796998,1380004385.0
42,Djibouti,11.8251,42.5903,12519,0.012671026981726757,988002.0
116,Norway,60.472,8.4689,72511,0.013479196389982294,5379475.0
85,Lebanon,33.8547,35.8623,93678,0.013724825439876274,6825442.0
127,Qatar,25.3548,51.1839,41312,0.014339166834428995,2881060.0
106,Morocco,31.7917,-7.0926,539218,0.014608773999027595,36910558.0
50,Eswatini,-26.5225,31.4659,17607,0.01517630266065832,1160164.0
136,Sao Tome and Principe,0.1864,6.6131,3410,0.015559337655878556,219161.0
172,West Bank and Gaza,31.9522,35.2332,74921,0.015597918834027408,4803269.0
49,Estonia,58.5953,25.0136,20833,0.015651470973820053,1331057.0
10,Azerbaijan,40.1431,47.5769,161918,0.016015444333180747,10110116.0
53,Finland,61.92411,25.748151,88920,0.016077475641051373,5530719.0
88,Libya,26.3351,17.228331,111938,0.016290689065963915,6871287.0
78,Jordan,31.24,36.51,172825,0.016938413076758724,10203140.0
79,Kazakhstan,48.0196,66.9237,342310,0.01825221120971887,18754440.0
14,Belarus,53.7098,27.9534,172608,0.018364778455602228,9398861.0
161,Tunisia,33.886917,9.537499,225290,0.019062296454627776,11818618.0
59,Greece,39.0742,21.8243,208512,0.019458825674727447,10715549.0
64,Guyana,4.860416,-58.93018,16383,0.02082869816504547,786559.0
90,Lithuania,55.1694,23.8813,59259,0.02120406483701292,2794700.0
103,Monaco,43.7333,7.4167,833,0.021226174701865254,39244.0
97,Malta,35.9375,14.3754,11597,0.02207753885985703,525285.0
27,Cabo Verde,16.5388,-23.0418,12418,0.022335014424771756,555988.0
46,El Salvador,13.7942,-88.8965,153112,0.023605805617186393,6486201.0
122,Paraguay,-23.4425,-58.4438,169857,0.023814410875243427,7132530.0
56,Georgia,42.3154,43.3569,88764,0.02389983844911147,3714000.0
162,Turkey,38.9637,35.2433,2063533,0.024467107277817052,84339067.0
137,Saudi Arabia,23.885942,45.079162,869637,0.024979615163118765,34813867.0
151,Suriname,3.9193,-56.0278,15480,0.026387832958880666,586634.0
11,Bahrain,26.0275,50.55,47269,0.02777942656925933,1701583.0
165,Ukraine,48.3794,31.1656,1240038,0.02809667215766064,44134693.0
16,Belize,17.1899,-88.4976,11440,0.028771116213680867,397621.0
139,Serbia,44.0165,21.0059,206832,0.029939967204306056,6908224.0
