,Country/Region,Lat,Long,confirm_total,death_total,recovered_total,2020,active
87,Liberia,6.428055,-9.429499,5459,148,2715,5057677.0,2596
88,Libya,26.3351,17.228331,296879,4076,195640,6871287.0,97163
89,Liechtenstein,47.14,9.55,3228,59,3094,38137.0,75
90,Lithuania,55.1694,23.8813,294086,4494,713194,2794700.0,-423602
91,Luxembourg,49.8153,6.1296,75130,830,207656,632275.0,-133356
92,Madagascar,-18.766947,46.869107,42847,955,122821,27691019.0,-80929
93,Malawi,-13.2543,34.3015,59624,2082,39841,19129955.0,17701
94,Malaysia,4.210484,101.975766,1572765,14342,962733,32365998.0,595690
95,Maldives,3.2028,73.2207,80067,225,75095,540542.0,4747
96,Mali,17.570692,-3.996166,14763,536,13962,20250834.0,265
97,Malta,35.9375,14.3754,35831,436,34061,525285.0,1334
98,Marshall Islands,7.1315,171.1845,4,0,4,59194.0,0
99,Mauritania,21.0079,-10.9408,32026,677,22859,4649660.0,8490
100,Mauritius,-20.348404,57.552152,8098,25,1854,1265740.0,6219
101,Mexico,23.6345,-102.5528,3231616,253526,3366021,128932753.0,-387931
102,Moldova,47.4116,28.3699,264746,6369,252421,2617820.0,5956
103,Monaco,43.7333,7.4167,3141,33,2875,39244.0,233
104,Mongolia,46.8625,103.8467,196846,907,323514,3278292.0,-127575
105,Montenegro,42.708678,19.37439,110377,1680,99152,621718.0,9545
106,Morocco,31.7917,-7.0926,813945,11889,582692,36910558.0,219364
107,Mozambique,-18.665695,35.529562,143127,1808,100912,31255435.0,40407
108,Namibia,-22.9576,18.4904,123861,3345,96568,2540916.0,23948
109,Nepal,28.1667,84.25,748981,10533,661651,29136808.0,76797
110,Netherlands,107.0442,-264.9603,1955363,18281,28783,17441139.0,1908299
111,New Zealand,-62.137299999999996,15.108299999999986,3097,26,7328,5084300.0,-4257
112,Nicaragua,12.865416,-85.207229,10672,198,4225,6624554.0,6249
113,Niger,17.607789,8.081666,5770,196,5351,24206636.0,223
114,Nigeria,9.082,8.6753,187588,2276,165208,206139587.0,20104
115,North Macedonia,41.6086,21.7453,169202,5695,150440,2083380.0,13067
116,Norway,60.472,8.4689,149732,811,17998,5379475.0,130923
117,Oman,21.512583,55.923255,301450,4038,281724,5106622.0,15688
118,Pakistan,30.3753,69.3451,1131659,25094,952629,220892331.0,153936
119,Palau,7.515,134.5825,1,0,0,18092.0,1
120,Panama,8.538,-80.7821,452986,7015,420113,4314768.0,25858
121,Papua New Guinea,-6.314993,143.95555,17838,192,17384,8947027.0,262
122,Paraguay,-23.4425,-58.4438,457838,15593,423964,7132530.0,18281
123,Peru,-9.19,-75.0152,2142153,197879,3630739,32971846.0,-1686465
124,Philippines,12.879721,121.774017,1857646,31961,4342873,109581085.0,-2517188
125,Poland,51.9194,19.1451,2886805,75316,7959632,37950802.0,-5148143
126,Portugal,39.3999,-8.2245,1020546,17645,912620,10305564.0,90281
127,Qatar,25.3548,51.1839,231126,601,372962,2881060.0,-142437
128,Romania,45.9432,24.9668,1091340,34425,1048072,19286123.0,8843
129,Russia,61.52401,105.318756,6672373,173768,5609682,144104080.0,888923
130,Rwanda,-1.9403,29.8739,83519,1027,44911,12952209.0,37581
131,Saint Kitts and Nevis,17.357822,-62.782998,823,3,549,53192.0,271
132,Saint Lucia,13.9094,-60.9789,7232,97,5398,16718971.0,1737
133,Saint Vincent and the Grenadines,12.9843,-61.2872,2320,12,2233,110947.0,75
134,Samoa,-13.759,-172.1046,3,0,3,198410.0,0
135,San Marino,43.9424,12.4578,5261,90,5009,33938.0,162
136,Sao Tome and Principe,0.1864,6.6131,2524,37,2365,219161.0,122
137,Saudi Arabia,23.885942,45.079162,541994,8481,507374,34813867.0,26139
138,Senegal,14.4974,-14.4524,72015,1680,48812,16743930.0,21523
139,Serbia,44.0165,21.0059,744150,7218,26927,6908224.0,710005
140,Seychelles,-4.6796,55.492,19594,104,18191,98462.0,1299
141,Sierra Leone,8.460555,-11.779889,6355,121,4287,7976985.0,1947
142,Singapore,1.2833,103.8333,66576,50,125920,5685807.0,-59394
143,Slovenia,46.1512,14.9955,263664,4441,506891,2100126.0,-247668
144,Solomon Islands,-9.6457,160.1562,20,0,20,686878.0,0
145,Somalia,5.152149,46.199616,16892,927,7661,15893219.0,8304
146,South Africa,-30.5595,22.9375,2698605,79584,2258603,59308690.0,360418
147,South Sudan,6.877,31.307,11310,120,10514,11193729.0,676
148,Spain,40.463667,-3.74922,4794352,83337,150376,47351567.0,4560639
149,Sri Lanka,7.873054,80.771797,394355,7560,284530,21919000.0,102265
150,Sudan,12.8628,30.2176,37639,2826,30647,43849269.0,4166
151,Suriname,3.9193,-56.0278,27574,700,21978,586634.0,4896
152,Sweden,60.128161,18.643501,1116584,14668,0,10353442.0,1101916
