,Country/Region,2020,country,continent,iso_alpha,iso_num,Lat,Long
78,Saudi Arabia,34813867.0,Saudi Arabia,Asia,SAU,682,23.885942,45.079162
79,Bahrain,1701583.0,Bahrain,Asia,BHR,48,26.0275,50.55
80,Serbia,6908224.0,Serbia,Europe,SRB,688,44.0165,21.0059
81,Denmark,5831404.0,Denmark,Europe,DNK,208,189.8634,-40.014300000000006
82,Kuwait,4270563.0,Kuwait,Asia,KWT,414,29.31166,47.481766
83,Albania,2837743.0,Albania,Europe,ALB,8,41.1533,20.1683
84,Oman,5106622.0,Oman,Asia,OMN,512,21.512583,55.923255
85,Costa Rica,5094114.0,Costa Rica,Americas,CRI,188,9.7489,-83.7534
86,Guatemala,16858333.0,Guatemala,Americas,GTM,320,15.7835,-90.2308
87,Dominican Republic,10847904.0,Dominican Republic,Americas,DOM,214,18.7357,-70.1627
88,Germany,83240525.0,Germany,Europe,DEU,276,51.165691,10.451526
89,Israel,9216900.0,Israel,Asia,ISR,376,31.046051,34.851612
90,Poland,37950802.0,Poland,Europe,POL,616,51.9194,19.1451
91,Croatia,4047200.0,Croatia,Europe,HRV,191,45.1,15.2
92,Austria,8917205.0,Austria,Europe,AUT,40,47.5162,14.5501
93,Iraq,40222503.0,Iraq,Asia,IRQ,368,33.223191,43.679291
94,Honduras,9904608.0,Honduras,Americas,HND,340,15.2,-86.2419
95,Hungary,9749763.0,Hungary,Europe,HUN,348,47.1625,19.5033
96,South Africa,59308690.0,South Africa,Africa,ZAF,710,-30.5595,22.9375
97,Bulgaria,6927288.0,Bulgaria,Europe,BGR,100,42.7339,25.4858
98,Slovenia,2100126.0,Slovenia,Europe,SVN,705,46.1512,14.9955
99,Portugal,10305564.0,Portugal,Europe,PRT,620,39.3999,-8.2245
100,Canada,38005238.0,Canada,Americas,CAN,124,56.1304,-106.3468
101,Romania,19286123.0,Romania,Europe,ROU,642,45.9432,24.9668
102,Montenegro,621718.0,Montenegro,Europe,MNE,499,42.708678,19.37439
103,Iran,83992953.0,Iran,Asia,IRN,364,32.427908,53.688046
104,Bosnia and Herzegovina,3280815.0,Bosnia and Herzegovina,Europe,BIH,70,43.9159,17.6791
105,Switzerland,8636896.0,Switzerland,Europe,CHE,756,46.8182,8.2275
106,Argentina,45376763.0,Argentina,Americas,ARG,32,-38.4161,-63.6167
107,Colombia,50882884.0,Colombia,Americas,COL,170,4.5709,-74.2973
108,Ireland,4994724.0,Ireland,Europe,IRL,372,53.1424,-7.6921
109,Netherlands,17441139.0,Netherlands,Europe,NLD,528,107.0442,-264.9603
110,Panama,4314768.0,Panama,Americas,PAN,591,8.538,-80.7821
111,Bolivia,11673029.0,Bolivia,Americas,BOL,68,-16.2902,-63.5887
112,Mexico,128932753.0,Mexico,Americas,MEX,484,23.6345,-102.5528
113,Ecuador,17643060.0,Ecuador,Americas,ECU,218,-1.8312,-78.1834
114,Chile,19116209.0,Chile,Americas,CHL,152,-35.6751,-71.543
115,Brazil,212559409.0,Brazil,Americas,BRA,76,-14.235,-51.9253
116,France,67391582.0,France,Europe,FRA,250,77.103595,-118.07561399999997
117,Sweden,10353442.0,Sweden,Europe,SWE,752,60.128161,18.643501
118,United Kingdom,67215293.0,United Kingdom,Europe,GBR,826,262.08319800000004,-497.28056599999996
119,Italy,59554023.0,Italy,Europe,ITA,380,41.87194,12.56738
120,Spain,47351567.0,Spain,Europe,ESP,724,40.463667,-3.74922
121,Belgium,11555997.0,Belgium,Europe,BEL,56,50.8333,4.469936
122,Peru,32971846.0,Peru,Americas,PER,604,-9.19,-75.0152
123,Eritrea,,Eritrea,Africa,ERI,232,15.1794,39.7823
